"Date" "Time" "GBdem_r" "Idem_r" "GBwind_r" "Iwind_r"
"143" "2007-11-09" "22:00:00" 34249.0702454308 5840.20965688196 10482.69 1696.809
"144" "2007-11-09" "23:00:00" 31365.4916012862 5562.24626251149 10807.65 1734.249
"145" "2007-11-10" "00:00:00" 30640.3629376041 4941.52827769399 10991.805 1729.35
"146" "2007-11-10" "01:00:00" 29469.9954693624 4472.63117453458 11012.7 1698.906
"147" "2007-11-10" "02:00:00" 28165.4769699171 4150.24163351606 10825.455 1640.865
"148" "2007-11-10" "03:00:00" 26807.4763317859 3953.45885886887 10482.705 1562.988
"149" "2007-11-10" "04:00:00" 25745.410194383 3887.14068539331 9967.365 1478.091
"150" "2007-11-10" "05:00:00" 25818.056766098 3919.64864970536 9265.29 1405.497
"151" "2007-11-10" "06:00:00" 27768.3720901747 4132.67035745405 8490.855 1355.025
"152" "2007-11-10" "07:00:00" 30067.2126846876 4538.82226710528 7760.19 1327.71
"153" "2007-11-10" "08:00:00" 33274.3582678815 5009.18949567994 7144.59 1310.397
"154" "2007-11-10" "09:00:00" 35808.965957101 5622.23982000584 6856.47 1295.277
"155" "2007-11-10" "10:00:00" 36446.2947764406 5932.17743888792 6867.03 1294.533
"156" "2007-11-10" "11:00:00" 36696.3237747969 6040.2035653411 7125.855 1328.325
"157" "2007-11-10" "12:00:00" 36276.043301624 6032.88036098637 7485.99 1367.364
"158" "2007-11-10" "13:00:00" 35448.4072054607 5838.3375544992 7854.66 1402.605
"159" "2007-11-10" "14:00:00" 34762.4987768149 5650.16752096771 8244.045 1424.49
"160" "2007-11-10" "15:00:00" 34976.8730160473 5617.68631053036 8629.695 1439.874
"161" "2007-11-10" "16:00:00" 38585.580323874 6003.05179722643 9207.12 1476.123
"162" "2007-11-10" "17:00:00" 41899.6901844396 7054.82754250864 9983.835 1506.855
"163" "2007-11-10" "18:00:00" 40752.0526251394 7073.96392024113 10828.665 1535.046
"164" "2007-11-10" "19:00:00" 38783.9099215006 6669.67408026965 11434.47 1555.437
"165" "2007-11-10" "20:00:00" 36566.6295884837 6261.00596870204 11788.95 1566.033
"166" "2007-11-10" "21:00:00" 34226.7860209784 5822.66714123526 11972.52 1582.437
"167" "2007-11-10" "22:00:00" 32249.2839430696 5415.11265970241 12037.665 1593.459
"168" "2007-11-10" "23:00:00" 30083.2573262933 5244.16743955545 12057.03 1599.702
"169" "2007-11-11" "00:00:00" 29385.7611009322 4771.47396157484 12036.84 1604.916
"170" "2007-11-11" "01:00:00" 27943.0804098818 4359.65758780084 11961.045 1605.108
"171" "2007-11-11" "02:00:00" 26471.8759115323 4028.75228846244 11821.485 1592.859
"172" "2007-11-11" "03:00:00" 25181.1736312475 3881.75847464872 11615.67 1607.55
"173" "2007-11-11" "04:00:00" 24224.2890332601 3768.84107105187 11327.46 1605.87
"174" "2007-11-11" "05:00:00" 24218.0494504134 3714.7955687522 10966.11 1552.638
"175" "2007-11-11" "06:00:00" 25187.8588985832 3780.98465478229 10500.3 1459.152
"176" "2007-11-11" "07:00:00" 25925.0210434696 3931.66381483717 9947.805 1347.687
"177" "2007-11-11" "08:00:00" 28657.9583303158 4155.61113617016 9335.7 1233.876
"178" "2007-11-11" "09:00:00" 31917.2489987284 4755.85504951972 8514.885 1105.965
"179" "2007-11-11" "10:00:00" 33878.2607505424 5250.20846446475 7768.71 993.384
"180" "2007-11-11" "11:00:00" 34769.6297286396 5548.51684285769 7234.305 920.01
"181" "2007-11-11" "12:00:00" 35603.5054076496 5859.72593963532 6812.025 860.979
"182" "2007-11-11" "13:00:00" 35275.9273081989 5824.88102436743 6387.285 772.767
"183" "2007-11-11" "14:00:00" 34929.6304602081 5590.90902618098 6059.19 677.763
"184" "2007-11-11" "15:00:00" 35371.7494733443 5488.27982510348 6028.935 606.924
"185" "2007-11-11" "16:00:00" 39249.6502125564 5807.04421609894 6064.26 562.959
"186" "2007-11-11" "17:00:00" 42237.0733426494 6748.1177786102 6011.85 530.067
"187" "2007-11-11" "18:00:00" 41367.0972200265 6837.32924267427 5855.61 477.333
"188" "2007-11-11" "19:00:00" 40013.5534267858 6623.19524258455 5671.815 412.011
"189" "2007-11-11" "20:00:00" 38342.2365928534 6346.94610273606 5482.14 348.129
"190" "2007-11-11" "21:00:00" 35836.5983954221 6038.75551187247 5243.745 290.958
"191" "2007-11-11" "22:00:00" 32952.1283822993 5549.683311795 5033.475 241.386
"192" "2007-11-11" "23:00:00" 29825.2060071342 5225.03775029164 4792.125 199.578
"193" "2007-11-12" "00:00:00" 29251.1643852395 4677.44746891002 4469.43 160.59
"194" "2007-11-12" "01:00:00" 28857.1792969205 4357.52664168027 4096.575 119.649
"195" "2007-11-12" "02:00:00" 28139.6272695523 4142.25961499663 3679.185 82.773
"196" "2007-11-12" "03:00:00" 27333.8297133523 4046.09749428316 3300.03 52.215
"197" "2007-11-12" "04:00:00" 26721.9049098886 4027.68949078962 3022.425 36.285
"198" "2007-11-12" "05:00:00" 28027.314778312 4117.62531601144 2829.48 26.748
"199" "2007-11-12" "06:00:00" 33424.5539406909 4676.85487058521 2694.15 19.836
"200" "2007-11-12" "07:00:00" 39493.8853125551 5903.0197285363 2573.22 23.256
"201" "2007-11-12" "08:00:00" 41326.5399315231 6479.57041044356 2405.745 35.733
"202" "2007-11-12" "09:00:00" 42676.5182488513 6884.3585413315 2083.71 58.245
"203" "2007-11-12" "10:00:00" 42898.9148088866 6946.63219779793 1874.7 85.539
"204" "2007-11-12" "11:00:00" 43032.6201556012 6960.12885874176 1861.5 120.735
"205" "2007-11-12" "12:00:00" 42796.4073764054 6983.80001823743 1942.56 203.622
"206" "2007-11-12" "13:00:00" 42336.0152992182 6775.08969739809 2112.36 304.512
"207" "2007-11-12" "14:00:00" 42194.7333161898 6773.11057951649 2332.065 390.309
"208" "2007-11-12" "15:00:00" 42514.2890948376 6877.71622308812 2557.095 471.48
"209" "2007-11-12" "16:00:00" 46873.9747667113 7301.02539259024 2822.85 585.597
"210" "2007-11-12" "17:00:00" 49930.4789926068 8094.64096156159 3125.205 712.977
"211" "2007-11-12" "18:00:00" 48542.6174937094 7881.79984246719 3439.95 834.24
"212" "2007-11-12" "19:00:00" 46823.6124194488 7674.18041086911 3721.59 936.195
"213" "2007-11-12" "20:00:00" 44080.8700738436 7246.26957491705 3950.91 1008.852
"214" "2007-11-12" "21:00:00" 40644.6426632786 6771.31539452352 4092.69 1065.243
"215" "2007-11-12" "22:00:00" 36619.2203581914 6115.834093756 4161.18 1090.545
"216" "2007-11-12" "23:00:00" 32372.7385465361 5558.1696408527 4287.555 1095.258
"217" "2007-11-13" "00:00:00" 31503.6537928913 4888.16232381192 4496.04 1093.371
"218" "2007-11-13" "01:00:00" 31030.7825500107 4500.4832958004 4849.245 1083.132
"219" "2007-11-13" "02:00:00" 30285.5980843214 4269.68430715444 5269.815 1067.283
"220" "2007-11-13" "03:00:00" 29218.1837330499 4199.99982739361 5807.565 1084.752
"221" "2007-11-13" "04:00:00" 28386.5364764852 4142.24891344674 6284.445 1151.259
"222" "2007-11-13" "05:00:00" 29310.440422283 4207.72634640957 6516.93 1221.423
"223" "2007-11-13" "06:00:00" 34210.2956948836 4740.62406864788 6718.35 1295.319
"224" "2007-11-13" "07:00:00" 40430.7141085353 5924.01750710167 7023.945 1386.249
"225" "2007-11-13" "08:00:00" 41942.4758953883 6471.41181635105 7363.05 1468.164
"226" "2007-11-13" "09:00:00" 42783.482526223 6698.69333931964 7611.855 1533.318
"227" "2007-11-13" "10:00:00" 43113.734732608 6760.77904981624 7904.565 1577.493
"228" "2007-11-13" "11:00:00" 43290.6714747604 6803.70898602119 8342.985 1600.371
"229" "2007-11-13" "12:00:00" 43190.3924647244 6846.5526409802 8856.69 1620.138
"230" "2007-11-13" "13:00:00" 42979.1380169154 6671.97424464775 9221.19 1634.859
"231" "2007-11-13" "14:00:00" 42802.2012747631 6701.7593333613 9428.355 1640.373
"232" "2007-11-13" "15:00:00" 43074.5144975718 6844.90527114499 9567.135 1635.489
"233" "2007-11-13" "16:00:00" 46890.0194083171 7277.93546102263 9593.205 1617.876
"234" "2007-11-13" "17:00:00" 49540.0593802002 7982.92815117351 9500.445 1581
"235" "2007-11-13" "18:00:00" 47963.2276579462 7747.72815013792 9296.37 1542.573
"236" "2007-11-13" "19:00:00" 45998.6504302198 7566.3602892512 8961.36 1511.016
"237" "2007-11-13" "20:00:00" 43809.448220013 7219.1765948461 8506.71 1480.923
"238" "2007-11-13" "21:00:00" 40270.2676924778 6741.27213091903 7934.295 1439.178
"239" "2007-11-13" "22:00:00" 36337.1020766237 6120.07993367232 7353.45 1368.471
