"Date" "Time" "Idem" "Iwind" "GBdem" "GBwind"
"343" 2007-11-18 06:00:00 3022.0775 0.173679 30794.5 0.420026
"344" 2007-11-18 07:00:00 3134.594 0.204876 31732 0.409551
"345" 2007-11-18 08:00:00 3231.142 0.229288 34438.5 0.401333
"346" 2007-11-18 09:00:00 3672.8065 0.246229 38748 0.376356
"347" 2007-11-18 10:00:00 4076.9625 0.261903 42085 0.356865
"348" 2007-11-18 11:00:00 4326.342 0.283042 43755 0.346316
"349" 2007-11-18 12:00:00 4550.827 0.310819 45208.5 0.341209
"350" 2007-11-18 13:00:00 4510.9955 0.341969 44854 0.342165
"351" 2007-11-18 14:00:00 4327.4875 0.3732 44853.5 0.348539
"352" 2007-11-18 15:00:00 4287.87 0.395346 45827 0.361001
"353" 2007-11-18 16:00:00 4657.906 0.411306 49054 0.376492
"354" 2007-11-18 17:00:00 5178.328 0.425671 50423.5 0.388638
"355" 2007-11-18 18:00:00 5129.45 0.442604 48887.5 0.400352
"356" 2007-11-18 19:00:00 4934.884 0.45936 47481 0.414346
"357" 2007-11-18 20:00:00 4706.147 0.467591 45577.5 0.428704
"358" 2007-11-18 21:00:00 4457.4025 0.467631 42433 0.443917
"359" 2007-11-18 22:00:00 4107.4715 0.462486 39087 0.458688
"360" 2007-11-18 23:00:00 3898.129 0.453861 35142.5 0.483386
"361" 2007-11-19 00:00:00 3490.4515 0.442834 34732.5 0.518649
"362" 2007-11-19 01:00:00 3210.949 0.429742 34337 0.559749
"363" 2007-11-19 02:00:00 3058.739 0.413883 33561 0.601769
"364" 2007-11-19 03:00:00 2979.203 0.394944 32593.5 0.627495
"365" 2007-11-19 04:00:00 2967.856 0.384862 31687.5 0.64414
"366" 2007-11-19 05:00:00 3029.204 0.391878 32611.5 0.653819
"367" 2007-11-19 06:00:00 3435.6865 0.409153 38293 0.657504
"368" 2007-11-19 07:00:00 4365.186 0.432879 45674 0.654384
"369" 2007-11-19 08:00:00 4892.928 0.455464 47729.5 0.642748
"370" 2007-11-19 09:00:00 5179.343 0.466635 49125.5 0.625299
"371" 2007-11-19 10:00:00 5278.7035 0.471092 49764 0.603655
"372" 2007-11-19 11:00:00 5347.276 0.47075 50133.5 0.579696
"373" 2007-11-19 12:00:00 5425.617 0.465796 50209.5 0.555416
"374" 2007-11-19 13:00:00 5325.92 0.457324 50070.5 0.533627
"375" 2007-11-19 14:00:00 5328.0785 0.448759 50158.5 0.512981
"376" 2007-11-19 15:00:00 5431.036 0.453216 50947 0.49364
"377" 2007-11-19 16:00:00 5742.3545 0.451845 55028 0.479546
"378" 2007-11-19 17:00:00 6146.178 0.440466 56481 0.465471
"379" 2007-11-19 18:00:00 5919.5145 0.422751 54807 0.451595
"380" 2007-11-19 19:00:00 5766.8745 0.403443 52536 0.438362
"381" 2007-11-19 20:00:00 5465.8365 0.388857 49460 0.428112
