"Capacity" "Availability"
"182" 20 0.848742677074399
"183" 30 0.848742677074399
"184" 20 0.848742677074399
"185" 20 0.848742677074399
"186" 30 0.848742677074399
"187" 30 0.848742677074399
"189" 40 0.848742677074399
"190" 30 0.848742677074399
"192" 20 0.848742677074399
"193" 10 0.848742677074399
"195" 10 0.848742677074399
"196" 110 0.848742677074399
"198" 20 0.848742677074399
"199" 30 0.848742677074399
"200" 20 0.848742677074399
"201" 20 0.848742677074399
"202" 30 0.848742677074399
"203" 30 0.848742677074399
"204" 10 0.848742677074399
"205" 10 0.848742677074399
"206" 30 0.848742677074399
"207" 10 0.848742677074399
"208" 30 0.848742677074399
"209" 40 0.848742677074399
"211" 20 0.848742677074399
"212" 20 0.848742677074399
"213" 20 0.848742677074399
"214" 20 0.848742677074399
"215" 30 0.848742677074399
"217" 30 0.848742677074399
"218" 20 0.848742677074399
"219" 20 0.848742677074399
"220" 20 0.848742677074399
"221" 20 0.848742677074399
"222" 10 0.848742677074399
"223" 30 0.848742677074399
"224" 50 0.848742677074399
"225" 40 0.848742677074399
"226" 40 0.848742677074399
"227" 40 0.848742677074399
"228" 10 0.848742677074399
"229" 40 0.848742677074399
"230" 10 0.848742677074399
"233" 40 0.848742677074399
